Item,Quantity,Comments,Section
USB A to USB B,7,,Cables and Adapters
USB 2.0 Slim Portable Optical Drive with USB Cable,1,,Cables and Adapters
Apple 30-pin to USB-A,1,,Cables and Adapters
USB to HDMI Cable,1,,Cables and Adapters
Lightning Cable,35,,Cables and Adapters
100W USB-C to USB-C cable,2,,Cables and Adapters
USB-C to USB-C cable,9,,Cables and Adapters
DisplayPort to HDMI Adapter,2,,Cables and Adapters
DVI to HDMI Adapter,4,,Cables and Adapters
VGA Adapter,4,,Cables and Adapters
VGA Cable,3,,Cables and Adapters
Ethernet Cable RJ45 Connector,1,,Cables and Adapters
Extension Cords (short),7,,Cables and Adapters
6ft USB Extension Cable,1,,Cables and Adapters
USB A Splitter (1 to 3),1,,Cables and Adapters
Jabra USB Hub,1,,Cables and Adapters
VisionTek USB Hub (no cable),1,,Cables and Adapters
USB Gigabit LAN Cable,1,,Cables and Adapters
Mouse and Keyboard Extension Cable (6-pin Belkin),1,,Cables and Adapters
Audio Cable 3.5mm,3,,Cables and Adapters
Benfei DisplayPort to HDMI Adapter,2,,Cables and Adapters
USB A to USB A,1,,Cables and Adapters
Ethernet Cable,1,,Cables and Adapters
Power Supply,1,,Cables and Adapters
Panfore Power Supply,1,,Cables and Adapters
ITE Power Supply,1,,Cables and Adapters
Logitech Wireless Keyboard ,1,No accessories,Computer Peripherals
K350 Wireless Keyboard and Mouse,1,No accessories,Computer Peripherals
Wired Keyboard,1,,Computer Peripherals
Wired Microsoft Mouse,1,,Computer Peripherals
IBM Wired Keyboard,1,,Computer Peripherals
"Dell 27"" Monitor with Stand and HDMI",2,,Monitors
HannsG Monitor,1,,Monitors
Dell Monitor,1,,Monitors
Dell Monitor with Mount,1,,Monitors
Dell Wide Stand (to hang/attach 2 monitors),1,,Monitors
Panasonic TV with Power Cable,1,,TVs
Old HP TVs Bulky with Power Cables,2,,TVs
Panasonic TV Remote,1,,TVs
HP TV Remote,1,,TVs
Shrradoo Anti-theft Laptop Backpack,2,,Other Accessories
Bluetooth Tracking Keychain with Selfie Remote,1,,Other Accessories
Verbatim External CD/DVD Writer with Cable,1,Software Nero Burn Archive included,Other Accessories
Inateck 2.4G Wireless Barcode Scanner,1,Includes USB cable and USB port receiver,Other Accessories
Bluetooth Keyboards for Tablets with Props,4,Includes a prop for the tablet,Other Accessories
Insignia TV Wall Mount for Flat Panel TV (<50lbs),1,,Other Accessories
Desktop Computer Tower,1,"Old, with optical and floppy disk",Other Accessories
Honeywell Quad Battery Charger with Wall Plug,1,,Other Accessories
Honeywell Rugged Device with Laser Scanner,2,Phone form factor,Other Accessories
Handheld Scanner to Put Honeywell Device In,5,,Other Accessories
MountIt Height Adjustable Anti-theft iPad Floor Stand,1,iPad Stand,Other Accessories
